ts,switch_dpid,port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec
Sat Oct 11 19:54:03 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,37,579000000
Sat Oct 11 19:54:03 2025,2,1,312,331,22920,812670,0,0,0,0,0,0,0,0,37,583000000
Sat Oct 11 19:54:03 2025,2,2,336,308,823168,22644,0,0,0,0,0,0,0,0,37,583000000
Sat Oct 11 19:54:04 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,38,591000000
Sat Oct 11 19:54:04 2025,1,1,337,303,833370,22262,0,0,0,0,0,0,0,0,38,595000000
Sat Oct 11 19:54:04 2025,1,2,308,336,22644,823168,0,0,0,0,0,0,0,0,38,595000000
Sat Oct 11 19:54:04 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,38,586000000
Sat Oct 11 19:54:04 2025,2,1,312,331,22920,812670,0,0,0,0,0,0,0,0,38,590000000
Sat Oct 11 19:54:04 2025,2,2,336,308,823168,22644,0,0,0,0,0,0,0,0,38,590000000
Sat Oct 11 19:54:05 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,39,593000000
Sat Oct 11 19:54:05 2025,1,1,337,303,833370,22262,0,0,0,0,0,0,0,0,39,597000000
Sat Oct 11 19:54:05 2025,1,2,308,336,22644,823168,0,0,0,0,0,0,0,0,39,597000000
Sat Oct 11 19:54:05 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,39,588000000
Sat Oct 11 19:54:05 2025,2,1,312,331,22920,812670,0,0,0,0,0,0,0,0,39,592000000
Sat Oct 11 19:54:05 2025,2,2,336,308,823168,22644,0,0,0,0,0,0,0,0,39,592000000
Sat Oct 11 19:54:06 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,40,589000000
Sat Oct 11 19:54:06 2025,1,1,337,303,833370,22262,0,0,0,0,0,0,0,0,40,593000000
Sat Oct 11 19:54:06 2025,1,2,308,336,22644,823168,0,0,0,0,0,0,0,0,40,593000000
Sat Oct 11 19:54:06 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,40,590000000
Sat Oct 11 19:54:06 2025,2,1,312,331,22920,812670,0,0,0,0,0,0,0,0,40,594000000
Sat Oct 11 19:54:06 2025,2,2,336,308,823168,22644,0,0,0,0,0,0,0,0,40,594000000
